response_value	CHN	stimuli_presented	presented
5	ENG	S05_Almost-All-Colleges	Almost-All-Colleges
6	ENG	S03_Tradition-Requires-Parental	Tradition-Requires-Parental
5	CHN	S26_It-Took-Him	It-Took-Him
1	CHN	S04_Did-Shawn-Catch	Did-Shawn-Catch
2	CHN	S02_Continental-Drift-Is	Continental-Drift-Is
3	CHN	S04_The-Surplus-Shoes	The-Surplus-Shoes
3	CHN	S04_He-Shrugged-Casually	He-Shrugged-Casually
2	CHN	S02_Tradition-Requires-Parental	Tradition-Requires-Parental
4	ENG	S08_The-Moisture-In	The-Moisture-In
5	CHN	S04_How-Oily-Do	How-Oily-Do
6	ENG	S09_Those-Answers-Will	Those-Answers-Will
1	KOR	S19_They-Were-Already	They-Were-Already
3	CHN	S02_Too-Much-Curiosity	Too-Much-Curiosity
1	KOR	S24_Combine-All-The	Combine-All-The
3	CHN	S22_They-All-Like	They-All-Like
4	CHN	S02_They-All-Like	They-All-Like
1	KOR	S19_A-Monstrous-Shadow	A-Monstrous-Shadow
1	CHN	S22_In-Every-Major	In-Every-Major
3	KOR	S28_In-The-Long	In-The-Long
6	ENG	S03_Military-Personnel-Are	Military-Personnel-Are
2	CHN	S21_They-Were-Already	They-Were-Already
1	KOR	S25_The-Surplus-Shoes	The-Surplus-Shoes
1	KOR	S28_Nothing-Has-Been	Nothing-Has-Been
4	CHN	S26_Dont-Ask-Me	Dont-Ask-Me
3	KOR	S24_How-Permanent-Are	How-Permanent-Are
6	ENG	S03_She-Had-Your	She-Had-Your
3	CHN	S04_Of-Course-Dear	Of-Course-Dear
1	KOR	S28_Ralph-Prepared-Red	Ralph-Prepared-Red
4	CHN	S02_The-Moisture-In	The-Moisture-In
6	ENG	S09_Dont-Ask-Me	Dont-Ask-Me
3	KOR	S23_The-Small-Boy	The-Small-Boy
4	CHN	S02_It-Took-Him	It-Took-Him
1	KOR	S28_Those-Answers-Will	Those-Answers-Will
5	ENG	S07_The-Small-Boy	The-Small-Boy
1	CHN	S21_Nothing-Has-Been	Nothing-Has-Been
4	CHN	S04_Almost-All-Colleges	Almost-All-Colleges
6	ENG	S03_They-Were-Already	They-Were-Already
4	KOR	S23_Gregory-And-Tom	Gregory-And-Tom
6	ENG	S03_An-Adult-Male	An-Adult-Male
6	ENG	S03_Nothing-Has-Been	Nothing-Has-Been
6	ENG	S07_Continental-Drift-Is	Continental-Drift-Is
1	CHN	S21_He-Ate-Four	He-Ate-Four
3	KOR	S23_Of-Course-Dear	Of-Course-Dear
4	KOR	S28_Pam-Gives-Driving	Pam-Gives-Driving
1	KOR	S23_Military-Personnel-Are	Military-Personnel-Are
6	ENG	S05_In-Every-Major	In-Every-Major
4	CHN	S04_Gregory-And-Tom	Gregory-And-Tom
1	CHN	S22_Before-Thursdays-Exam	Before-Thursdays-Exam
